winner,SEED_higher,SEED_lower,TEAM_higher,G_higher,W_higher,ADJOE_higher,ADJDE_higher,BARTHAG_higher,EFG_O_higher,EFG_D_higher,TOR_higher,TORD_higher,ORB_higher,DRB_higher,FTR_higher,FTRD_higher,2P_O_higher,2P_D_higher,3P_O_higher,3P_D_higher,ADJ_T_higher,WAB_higher,SEED_higher.1,Turnover_diff_higher,TEAM_lower,G_lower,W_lower,ADJOE_lower,ADJDE_lower,BARTHAG_lower,EFG_O_lower,EFG_D_lower,TOR_lower,TORD_lower,ORB_lower,DRB_lower,FTR_lower,FTRD_lower,2P_O_lower,2P_D_lower,3P_O_lower,3P_D_lower,ADJ_T_lower,WAB_lower,SEED_lower.1,Turnover_diff_lower
Higher,2,10,Alabama,30,24,111,88.1,0.9343,51.3,45.3,18.6,21.1,31.5,29.8,28.6,31.9,50.1,46.4,35.1,28.8,73.9,6.8,2,1.013,Maryland,28,16,110,93,0.8735,52.6,48.5,16.8,16.9,20.9,24.8,32.6,25.6,52.8,46.4,34.9,34.3,65.4,0.2,10,1.183
Higher,1,16,Baylor,24,22,123.2,94.5,0.9548,57.5,49.1,17.6,24.6,37.5,30.9,27,31.7,54.1,48.1,41.8,34,68.8,6.6,1,1.47,Hartford,23,15,97.3,99.6,0.4345,50.4,47.6,19,20.4,24.8,28.6,28.6,25,51.3,50.7,32.7,28.7,66.9,-4.9,16,0.838
Higher,1,9,Baylor,24,22,123.2,94.5,0.9548,57.5,49.1,17.6,24.6,37.5,30.9,27,31.7,54.1,48.1,41.8,34,68.8,6.6,1,1.47,Wisconsin,29,17,111.3,90.4,0.9163,49.4,47.9,13.5,17.8,23.7,25.1,26.9,28.5,46.3,47.1,36,33,65,2.2,9,1.479
Higher,1,5,Baylor,24,22,123.2,94.5,0.9548,57.5,49.1,17.6,24.6,37.5,30.9,27,31.7,54.1,48.1,41.8,34,68.8,6.6,1,1.47,Villanova,22,16,117.9,96.7,0.9076,52.8,51.8,13.5,19,27.9,24.8,30,25.8,52.8,51,35.2,35.4,65.1,3.2,5,1.648
Higher,1,3,Baylor,24,22,123.2,94.5,0.9548,57.5,49.1,17.6,24.6,37.5,30.9,27,31.7,54.1,48.1,41.8,34,68.8,6.6,1,1.47,Arkansas,28,22,110.4,91.2,0.8997,51.5,47.6,17.4,20.3,31.7,26.2,32.7,29.3,51.9,46.9,33.9,32.6,73.1,4.6,3,1.131
Lower,8,9,North Carolina,28,18,108.8,91.6,0.8777,48.5,48.7,20.5,19.3,41.2,26.3,34.9,27.1,48.9,46.8,31.7,34.4,71.8,2.3,8,1.047,Wisconsin,29,17,111.3,90.4,0.9163,49.4,47.9,13.5,17.8,23.7,25.1,26.9,28.5,46.3,47.1,36,33,65,2.2,9,1.479
Higher,5,12,Villanova,22,16,117.9,96.7,0.9076,52.8,51.8,13.5,19,27.9,24.8,30,25.8,52.8,51,35.2,35.4,65.1,3.2,5,1.648,Winthrop,24,23,104.2,96.9,0.6975,53,49,19.5,22.5,35.6,22.2,35.7,33.8,53,49.2,35.3,32.4,73.8,0.9,12,1.069
Higher,5,13,Villanova,22,16,117.9,96.7,0.9076,52.8,51.8,13.5,19,27.9,24.8,30,25.8,52.8,51,35.2,35.4,65.1,3.2,5,1.648,North Texas,25,17,104.4,94.6,0.7578,54,45.7,20.4,21.4,27.9,26.9,27.2,31.7,52.9,44.8,37.3,31.6,63.3,-2.5,13,1.006
Lower,13,4,North Texas,25,17,104.4,94.6,0.7578,54,45.7,20.4,21.4,27.9,26.9,27.2,31.7,52.9,44.8,37.3,31.6,63.3,-2.5,13,1.006,Purdue,27,18,112.4,92.9,0.8994,51.4,48.6,18.7,16.9,32.2,24.1,32.2,30.3,52.1,49.7,33.5,31.5,66.6,3.8,4,1.14
Higher,6,11,Texas Tech,27,17,112.3,92.2,0.9057,49.7,47.9,16.2,23.8,33.8,29.7,39.3,36.4,48.7,44.8,34.7,35.1,65.7,0.9,6,1.204,Utah St.,27,20,105.2,90,0.8569,49.8,45.6,19.7,19.7,35.3,21.3,29.4,26.1,49.6,42.9,33.6,33,69,-1.1,11,1.156
Higher,3,14,Arkansas,28,22,110.4,91.2,0.8997,51.5,47.6,17.4,20.3,31.7,26.2,32.7,29.3,51.9,46.9,33.9,32.6,73.1,4.6,3,1.131,Colgate,15,14,110.8,100,0.7641,57.1,45.7,13.8,16.6,27.9,25.6,31.1,25.1,55.4,49.5,40.2,26.1,71.9,0.3,14,1.613
Higher,3,6,Arkansas,28,22,110.4,91.2,0.8997,51.5,47.6,17.4,20.3,31.7,26.2,32.7,29.3,51.9,46.9,33.9,32.6,73.1,4.6,3,1.131,Texas Tech,27,17,112.3,92.2,0.9057,49.7,47.9,16.2,23.8,33.8,29.7,39.3,36.4,48.7,44.8,34.7,35.1,65.7,0.9,6,1.204
Higher,7,10,Florida,23,14,110.6,93.4,0.8748,52.5,47.5,20.7,20.5,30.7,31.5,33.8,34.8,51.9,48.4,35.7,30.6,68.6,1.4,7,0.781,Virginia Tech,21,15,109.3,94.5,0.8426,52.5,48.4,17.3,17.6,28.4,24.3,33.2,30.9,51.7,47.6,35.7,33,66.5,0.9,10,1.223
Lower,2,15,Ohio St.,30,21,122.1,97,0.934,53.1,48.9,15.3,15,29.1,27.4,37.6,33.8,52.1,47.4,36.5,34.1,66.9,6,2,1.234,Oral Roberts,23,16,107,107.1,0.4981,53.6,50.4,15.7,18.2,23.2,33,27.8,33.1,49.7,49,38.8,35.6,71.4,-5.1,15,1.048
Lower,7,15,Florida,23,14,110.6,93.4,0.8748,52.5,47.5,20.7,20.5,30.7,31.5,33.8,34.8,51.9,48.4,35.7,30.6,68.6,1.4,7,0.781,Oral Roberts,23,16,107,107.1,0.4981,53.6,50.4,15.7,18.2,23.2,33,27.8,33.1,49.7,49,38.8,35.6,71.4,-5.1,15,1.048
Higher,3,15,Arkansas,28,22,110.4,91.2,0.8997,51.5,47.6,17.4,20.3,31.7,26.2,32.7,29.3,51.9,46.9,33.9,32.6,73.1,4.6,3,1.131,Oral Roberts,23,16,107,107.1,0.4981,53.6,50.4,15.7,18.2,23.2,33,27.8,33.1,49.7,49,38.8,35.6,71.4,-5.1,15,1.048
Higher,1,16,Illinois,29,23,117.7,90.4,0.9539,55.6,46.6,18.2,16.1,33,22.2,39.2,30.5,55.3,45.4,37.6,32.7,70.7,8.9,1,1.252,Drexel,19,12,107.9,105,0.5768,54.3,49.6,19.6,16.4,29.4,24.3,28.5,27.2,53.5,50.4,37.2,32.1,64.4,-4.5,16,1.164
Higher,8,9,Loyola Chicago,26,24,108.5,88.3,0.9136,56.3,46.7,18.5,21.6,26,21,30.7,22.4,58,45.5,35.7,32.5,63.9,1.7,8,1.337,Georgia Tech,25,17,113,94.8,0.882,53.9,52.2,15.9,22.7,24.8,29.7,29,28.9,54.8,50.7,34.9,36.7,67.7,1.9,9,1.417
Lower,1,8,Illinois,29,23,117.7,90.4,0.9539,55.6,46.6,18.2,16.1,33,22.2,39.2,30.5,55.3,45.4,37.6,32.7,70.7,8.9,1,1.252,Loyola Chicago,26,24,108.5,88.3,0.9136,56.3,46.7,18.5,21.6,26,21,30.7,22.4,58,45.5,35.7,32.5,63.9,1.7,8,1.337
Lower,8,12,Loyola Chicago,26,24,108.5,88.3,0.9136,56.3,46.7,18.5,21.6,26,21,30.7,22.4,58,45.5,35.7,32.5,63.9,1.7,8,1.337,Oregon St.,28,17,108.5,99.6,0.7289,48.7,50.4,17.2,18.5,29.8,29.4,34,38.2,46.9,52.5,34.6,31.4,65.1,-1.6,12,1.206
Higher,2,12,Houston,26,24,120.6,90.9,0.9626,51.3,42.9,16.3,21.6,39.4,28,30.7,42.4,49.9,43,35.5,28.5,65,4,2,1.284,Oregon St.,28,17,108.5,99.6,0.7289,48.7,50.4,17.2,18.5,29.8,29.4,34,38.2,46.9,52.5,34.6,31.4,65.1,-1.6,12,1.206
Lower,5,12,Tennessee,26,18,108.8,89.2,0.9072,50.1,45.9,18.2,22.9,31.4,28.6,35.1,31.1,49.8,44.8,33.8,31.8,66.9,2.4,5,1.425,Oregon St.,28,17,108.5,99.6,0.7289,48.7,50.4,17.2,18.5,29.8,29.4,34,38.2,46.9,52.5,34.6,31.4,65.1,-1.6,12,1.206
Higher,4,13,Oklahoma St.,28,20,109.3,92.3,0.875,52.1,47.2,21.4,19.3,31.9,30.2,36.4,30.5,52.8,46.9,33.8,31.7,71.6,4.6,4,0.824,Liberty,24,23,109.1,101.5,0.6969,57.4,48,15.6,17.3,23.1,22.4,25.5,29.6,56.8,47.8,38.8,32.2,63.4,-1.7,13,1.44
Lower,12,4,Oregon St.,28,17,108.5,99.6,0.7289,48.7,50.4,17.2,18.5,29.8,29.4,34,38.2,46.9,52.5,34.6,31.4,65.1,-1.6,12,1.206,Oklahoma St.,28,20,109.3,92.3,0.875,52.1,47.2,21.4,19.3,31.9,30.2,36.4,30.5,52.8,46.9,33.8,31.7,71.6,4.6,4,0.824
Lower,6,11,San Diego St.,26,23,111.1,90,0.9191,52.7,46.7,16.9,22.5,29.9,24.4,34.3,32.7,50.5,44.6,37.5,32.8,66,2.8,6,1.246,Syracuse,25,16,112.8,97.6,0.8402,50.7,48.5,16,20.8,30.1,33.5,28.1,25.1,50.9,49.3,33.7,31.6,69.4,0.5,11,1.322
Higher,3,14,West Virginia,27,18,115.9,95.3,0.9046,48.7,50.2,17,20.7,35.6,31.3,39.4,28.5,46.4,51.3,35.7,32.3,69.6,3,3,1.17,Morehead St.,28,23,99.3,96.7,0.5778,51.9,47,22.9,18,31.3,24.9,36.8,23.1,51.8,47.6,34.7,30.7,65.6,-2,14,0.801
Lower,3,11,West Virginia,27,18,115.9,95.3,0.9046,48.7,50.2,17,20.7,35.6,31.3,39.4,28.5,46.4,51.3,35.7,32.3,69.6,3,3,1.17,Syracuse,25,16,112.8,97.6,0.8402,50.7,48.5,16,20.8,30.1,33.5,28.1,25.1,50.9,49.3,33.7,31.6,69.4,0.5,11,1.322
Lower,7,10,Clemson,23,16,105.9,91.9,0.8374,50.4,48.7,19.5,21.6,26.6,26.6,23.6,29.6,49.2,47.5,34.6,33.7,64.4,2.9,7,1.053,Rutgers,26,15,106.7,91.9,0.847,50.2,47.7,16.4,18.9,27.4,29.1,27.7,33.2,51.9,47.4,31.1,32.1,67.8,1.9,10,1.196
Higher,2,15,Houston,26,24,120.6,90.9,0.9626,51.3,42.9,16.3,21.6,39.4,28,30.7,42.4,49.9,43,35.5,28.5,65,4,2,1.284,Cleveland St.,26,19,99.9,100.7,0.4785,50.6,48.9,18.5,20.2,30.9,31.8,31.9,37.2,52.1,50.9,31.9,30.8,66.2,-2.7,15,1.066
Higher,2,10,Houston,26,24,120.6,90.9,0.9626,51.3,42.9,16.3,21.6,39.4,28,30.7,42.4,49.9,43,35.5,28.5,65,4,2,1.284,Rutgers,26,15,106.7,91.9,0.847,50.2,47.7,16.4,18.9,27.4,29.1,27.7,33.2,51.9,47.4,31.1,32.1,67.8,1.9,10,1.196
Higher,2,11,Houston,26,24,120.6,90.9,0.9626,51.3,42.9,16.3,21.6,39.4,28,30.7,42.4,49.9,43,35.5,28.5,65,4,2,1.284,Syracuse,25,16,112.8,97.6,0.8402,50.7,48.5,16,20.8,30.1,33.5,28.1,25.1,50.9,49.3,33.7,31.6,69.4,0.5,11,1.322
Higher,1,11,Gonzaga,26,26,125.4,89.8,0.9791,61,47.5,16.1,20.3,30.4,23.4,36.7,25.9,64,46.8,36.5,32.5,74.6,8.5,1,1.561,UCLA,26,17,112.3,97.5,0.835,52,50.7,16.6,17.6,30.4,24.4,32.6,28,50.6,49.4,36.7,35.1,64.7,1,11,1.301
Higher,1,2,Baylor,24,22,123.2,94.5,0.9548,57.5,49.1,17.6,24.6,37.5,30.9,27,31.7,54.1,48.1,41.8,34,68.8,6.6,1,1.47,Houston,26,24,120.6,90.9,0.9626,51.3,42.9,16.3,21.6,39.4,28,30.7,42.4,49.9,43,35.5,28.5,65,4,2,1.284
Lower,1,1,Gonzaga,26,26,125.4,89.8,0.9791,61,47.5,16.1,20.3,30.4,23.4,36.7,25.9,64,46.8,36.5,32.5,74.6,8.5,1,1.561,Baylor,24,22,123.2,94.5,0.9548,57.5,49.1,17.6,24.6,37.5,30.9,27,31.7,54.1,48.1,41.8,34,68.8,6.6,1,1.47
