winner,SEED_higher,SEED_lower,TEAM_higher,G_higher,W_higher,ADJOE_higher,ADJDE_higher,BARTHAG_higher,EFG_O_higher,EFG_D_higher,TOR_higher,TORD_higher,ORB_higher,DRB_higher,FTR_higher,FTRD_higher,2P_O_higher,2P_D_higher,3P_O_higher,3P_D_higher,ADJ_T_higher,WAB_higher,SEED_higher.1,Turnover_diff_higher,TEAM_lower,G_lower,W_lower,ADJOE_lower,ADJDE_lower,BARTHAG_lower,EFG_O_lower,EFG_D_lower,TOR_lower,TORD_lower,ORB_lower,DRB_lower,FTR_lower,FTRD_lower,2P_O_lower,2P_D_lower,3P_O_lower,3P_D_lower,ADJ_T_lower,WAB_lower,SEED_lower.1,Turnover_diff_lower
Higher,2,15,St. John's,34,30,112.7,89.3,0.9355,49.7,46.6,15.6,21.9,37.3,28.9,30.2,30.4,51.5,45.8,30.4,31.8,70.2,7.8,2,4.5,Omaha,34,22,112.2,108.6,0.5937,53.5,53.1,15.7,14.9,29.2,25.4,36.4,37.7,52.5,53.5,36.7,35.1,67.8,-6.5,15,-0.5
Higher,1,8,Florida,34,30,127.8,94.1,0.9712,55,45.3,15,17,38.1,28.8,32.6,33,56.4,45.9,35.5,29.6,69.6,11.2,1,1.4,Connecticut,33,23,121.6,102.1,0.8819,55.5,48.3,17.1,15.5,35.6,27.4,30.6,40,57.3,46,35.4,35.1,63.9,2.2,8,-1.1
Higher,4,12,Maryland,33,25,117.9,92.1,0.9447,53.8,47,14.5,20.2,31,27.2,32.9,25.9,52.7,47.6,37.2,30.7,70,4.6,4,4.1,Colorado St.,34,25,116.6,98.9,0.8691,55.8,48.5,17.4,16.7,26.4,25.3,31.8,33.6,56.5,47.7,36.6,33.1,66.1,0.6,12,-0.4
Higher,3,11,Texas Tech,33,25,126.1,96.9,0.9536,55.5,48,14.8,17.4,34.3,28.5,29.7,33.5,54.3,48.2,37.9,31.7,65.7,5.8,3,1.8,Drake,33,30,112.9,98.5,0.8274,53.8,51.7,18.6,22.1,36,25.8,43,35.8,54.6,54.3,35,31.8,58.7,2.5,11,2.6
Lower,2,10,St. John's,34,30,112.7,89.3,0.9355,49.7,46.6,15.6,21.9,37.3,28.9,30.2,30.4,51.5,45.8,30.4,31.8,70.2,7.8,2,4.5,Arkansas,33,20,112,95.6,0.8608,52.7,48.3,16.5,17.5,27.6,28.3,35.5,29.4,54.4,48.5,33.3,31.9,69.4,1.3,10,0.7
Higher,1,9,Auburn,33,30,129.2,93.8,0.9754,55.7,46,13.4,17.4,34.3,30.3,33.5,39.2,56.1,47.2,36.8,29.2,67.9,12.5,1,2.8,Creighton,34,24,117.4,98.5,0.8831,55.8,47,18.1,11.7,26.9,27.2,28.5,16.9,60.5,45.8,33.9,32.7,67.3,3,9,-4.3
Lower,4,5,Texas A&M,32,22,115.7,93.2,0.9231,47.5,48.2,18.2,19.7,42,27.8,41.7,35.3,48,46.5,31.1,33.4,66.2,5.2,4,1.1,Michigan,34,25,115.2,94.5,0.9063,54.5,46.3,19.8,16,33.2,29.8,35,28.5,57.7,45.9,33.4,31.3,69.5,6.2,5,-2.7
Higher,3,6,Iowa St.,33,24,119,92.5,0.9476,54.6,48.4,16.9,21.8,32.2,28.4,38.5,28.9,55.1,47.5,35.8,33.2,68.7,5.4,3,3.5,Mississippi,33,22,117.5,97.1,0.899,51.1,50.5,12.8,20.5,25.4,30.8,35.6,39.5,51,51.6,34.1,32.7,68.1,4.8,6,5.4
Higher,2,10,Michigan St.,33,27,116.9,92,0.9403,51.2,46.1,16.6,16.4,35.3,24.6,37.8,33.1,53.6,49.1,30.8,27.9,68,7.9,2,-0.1,New Mexico,33,26,111.6,95.3,0.8591,50.8,49.2,15.6,20.5,31.5,25.6,37.8,35,50.6,48.2,34.1,33.8,73.2,2.5,10,3.9
Higher,1,16,Duke,34,31,128.6,91.3,0.9808,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,58,43.4,37.7,30.9,65.8,9.7,1,2.2,Mount St. Mary's,34,22,99.4,107.5,0.2903,51,48,21.7,15.9,31.1,28.3,31,26.7,50.1,48.7,34.9,31.4,67.3,-8.2,16,-3.9
